7, 4, person, 1213, 264, 17, 49, 1, -1, -1, -1
7, 5, person, 1194, 265, 21, 53, 1, -1, -1, -1
7, 6, person, 1190, 262, 21, 53, 1, -1, -1, -1
7, 1, car, 633, 303, 175, 73, 1, -1, -1, -1
7, 2, car, 350, 329, 211, 127, 1, -1, -1, -1
7, 3, car, 345, 262, 153, 69, 1, -1, -1, -1
7, 4, car, 484, 284, 151, 67, 1, -1, -1, -1
7, 5, car, 1290, 261, 66, 47, 1, -1, -1, -1
7, 6, car, 276, 316, 85, 93, 1, -1, -1, -1
7, 7, car, 1435, 234, 53, 41, 1, -1, -1, -1
7, 8, car, 1518, 262, 52, 43, 1, -1, -1, -1
7, 9, car, 1336, 243, 61, 53, 1, -1, -1, -1
7, 10, car, 1584, 210, 27, 21, 1, -1, -1, -1
7, 11, car, 1384, 248, 51, 39, 1, -1, -1, -1
7, 12, car, 1553, 248, 33, 25, 1, -1, -1, -1
7, 13, car, 1478, 225, 34, 27, 1, -1, -1, -1
7, 1, bicycle, 767, 432, 114, 94, 1, -1, -1, -1
7, 2, bicycle, 1292, 451, 72, 92, 1, -1, -1, -1
